County,Name,Address,City,State,Zip,Latitude,Longitude
Montgomery,Walter Johnson High,6400 Rock Spring Dr,Bethesda,MD,20814,39.026104,-77.129791
Montgomery,Walt Whitman High,7100 Whittier Blvd,Bethesda,MD,20817,38.981709,-77.125853
Montgomery,Sherwood High,300 Olney-Sandy Spring Rd,Sandy Spring,MD,20860,39.147069,-77.018744
Montgomery,Col. Zadok Magruder High,5939 Muncaster Mill Rd,Rockville,MD,20855,39.131284,-77.118565
Montgomery,MCPS Transitions School,11721 Kemp Mill Rd,Silver Spring,MD,20902,39.047188,-77.026654
Montgomery,Watkins Mill High,10301 Apple Ridge Rd,Gaithersburg,MD,20879,39.183741,-77.215959
Montgomery,Gaithersburg High,101 Education Blvd,Gaithersburg,MD,20877,39.136139,-77.194741
Montgomery,Winston Churchill High,11300 Gainsborough Rd,Potomac,MD,20854,39.044057,-77.172332
Montgomery,Damascus High,25921 Ridge Rd,Damascus,MD,20872,39.282165,-77.2103
Montgomery,Montgomery Blair High,51 University Blvd E,Silver Spring,MD,20901,39.018304,-77.011663
Montgomery,Wheaton High,12601 Dalewood Dr,Silver Spring,MD,20906,39.062226,-77.066083
Montgomery,Albert Einstein High,11135 Newport Mill Rd,Kensington,MD,20895,39.039174,-77.06711
Montgomery,Northwood High School,919 University Blvd W,Silver Spring,MD,20901,39.03462,-77.024181
Montgomery,Springbrook High,201 Valleybrook Dr,Silver Spring,MD,20904,39.05835,-77.005753
Montgomery,John F. Kennedy High,1901 Randolph Rd,Silver Spring,MD,20902,39.066008,-77.038739
Prince George's,High Point High,3601 Powder Mill Rd,Beltsville,MD,20705,39.042611,-76.943467
Prince George's,Bladensburg High,4200 57th Ave,Bladensburg,MD,20710,38.942597,-76.918786
Prince George's,Annapolis Road Academy,5150 Annapolis Rd,Bladensburg,MD,20710,38.940258,-76.930748
Prince George's,International High School @ Langley Park,5150 Annapolis Rd,Bladensburg,MD,20710,38.940258,-76.930748
Prince George's,Community Based Classrooms,5150 Annapolis Rd,Bladensburg,MD,20710,38.940258,-76.930748
Prince George's,Croom High,9400 Surratts Road,Cheltenham,MD,20623,38.736377,-76.859857
Prince George's,Friendly High,10000 Allentown Rd,Fort Washington,MD,20744,38.752163,-76.968536
Prince George's,Suitland High,5200 Silver Hill Rd,Forestville,MD,20747,38.853549,-76.917166
Prince George's,Tall Oaks High,2112 Church Rd,Bowie,MD,20721,38.919524,-76.758929
Prince George's,Surrattsville High,6101 Garden Dr,Clinton,MD,20735,38.762089,-76.901174
Prince George's,Laurel High,8000 Cherry Ln,Laurel,MD,20707,39.094181,-76.868001
Prince George's,Gwynn Park High,13800 Brandywine Rd,Brandywine,MD,20613,38.701731,-76.870669
Prince George's,Oxon Hill High,6701 Leyte Dr,Oxon Hill,MD,20745,38.797249,-76.993634
Prince George's,Crossland High,6901 Temple Hill Road,Temple Hills,MD,20748,38.794499,-76.929852
Prince George's,Potomac High,5211 Boydell Ave,Oxon Hill,MD,20745,38.821504,-76.97742
Prince George's,Largo High,505 Largo Rd,Upper Marlboro,MD,20774,38.886271,-76.820349
Prince George's,Charles Herbert Flowers High,10001 Ardwick-Ardmore Rd,Springdale,MD,20774,38.931573,-76.835113
Prince George's,Academy of Health Sciences at PGCC,301 Largo Rd,Largo,MD,20774,38.887513,-76.827116
Prince George's,International High school @ Largo,505 Largo Rd,Upper Marlboro,MD,20772,38.886271,-76.820349
Prince George's,Duval High,9880 Good Luck Rd,Lanham,MD,20706,38.988617,-76.838401
Prince George's,Bowie High,15200 Annapolis Rd,Bowie,MD,20715,38.978039,-76.743538
Prince George's,Frederick Douglass High,8000 Croom Rd,Upper Marlboro,MD,20772,38.781508,-76.781359
Prince George's,"Dr. Henry A. Wise, Jr. High",12650 Brooke Lane,Upper Marlboro,MD,20772,38.833754,-76.788602
Prince George's,Northwestern High,7000 Adelphi Rd,Hyattsville,MD,20782,38.975147,-76.954391
Prince George's,Fairmont Heights High,1401 Nye St,Capitol Heights,MD,20743,38.910254,-76.919048
Prince George's,Central High,200 Cabin Branch Rd,Capitol Heights,MD,20743,38.882327,-76.891246
Prince George's,Parkdale High,6001 Good Luck Rd,Riverdale,MD,20737,38.970141,-76.904574
Prince George's,Eleanor Roosevelt High,7601 Hanover Pkwy,Greenbelt,MD,20770,38.994828,-76.870172
Prince George's,Northwestern Evening/Saturday High,7000 Adelphi Road,Hyattsville,MD,20782,38.975147,-76.954391
Prince George's,Crossland Evening/Saturday High,6901 Temple Hill Rd,Temple Hills,MD,20748,38.794499,-76.929852
Prince George's,Incarcerated Youth Center (JACS),13400 Dille Dr,Upper Marlboro,MD,20772,38.824078,-76.774509
Queen Anne's,Queen Anne's County High School,125 Ruthsburg Rd,Centreville,MD,21617,39.035986,-76.054316
Queen Anne's,Kent Island High School,900 Love Point Rd,Stevensville,MD,21666,38.991133,-76.309907
Saint Mary's,Chopticon High,25390 Colton Point Rd,Morganza,MD,20660,38.359861,-76.70823
Saint Mary's,Leonardtown High,23995 Point Lookout Rd,Leonardtown,MD,20650,38.269842,-76.610775
Saint Mary's,Great Mills High,21130 Great Mills Rd,Great Mills,MD,20634,38.247267,-76.488082
Talbot,Easton High,723 Mecklenburg Ave,Easton,MD,21601,38.755819,-76.065528
Washington,Barbara Ingram School for the Arts,7-11 S. Potomac Street,Hagerstown,MD,21740,39.641742,-77.720876
Washington,Williamsport High,5 S Clifton Dr,Williamsport,MD,21795,39.596956,-77.81003
Washington,South Hagerstown High,1101 S Potomac St,Hagerstown,MD,21740,39.620377,-77.732213
